COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
FRO,Faroe Islands,0.0,0.0,0.0,34.81948272,0.0,2011
GAB,Gabon,15376859682.0,0.0,0.0,6.586335235,0.0,2011
GBR,United Kingdom,2493240000000.0,33.2,0.0,261.47612119999997,0.0,2011
GEO,Georgia,12479016506.0,39.6,0.0,67.79453445,0.0,2011
GHA,Ghana,36694403096.0,0.0,0.0,110.4060649,0.0,2011
GIB,Gibraltar,0.0,0.0,0.0,3340.5,0.0,2011
GIN,Guinea,7238091704.0,0.0,0.0,44.90953117,0.0,2011
GNB,Guinea-Bissau,917693960.1,0.0,0.0,56.76223329,0.0,2011
GNQ,Equatorial Guinea,17361846463.0,0.0,0.0,35.44705882,0.0,2011
GRC,Greece,272022000000.0,34.8,97.36873627,86.1512723,0.0,2011
GRD,Grenada,776911332.0,0.0,0.0,309.04411760000005,0.0,2011
GRL,Greenland,2490727405.0,0.0,0.0,0.138603971,0.0,2011
GTM,Guatemala,43059051146.0,0.0,0.0,139.5009239,0.0,2011
GUM,Guam,4901017210.0,0.0,0.0,295.7,0.0,2011
GUY,Guyana,2391347771.0,0.0,0.0,3.805435611,0.0,2011
HKG,"Hong Kong SAR, China",239646000000.0,0.0,0.0,6734.857143000001,0.0,2011
HND,Honduras,16446892853.0,56.2,85.12329865,74.64116543,0.0,2011
HRV,Croatia,59640623501.0,32.3,99.12535858,76.49431737,0.0,2011
HUN,Hungary,133093000000.0,29.2,0.0,110.14831550000001,0.0,2011
IDN,Indonesia,801682000000.0,39.7,92.81191254,135.6323581,0.0,2011
IMN,Isle of Man,6038581242.0,0.0,0.0,141.6824561,0.0,2011
IND,India,1763440000000.0,35.7,69.30255890000001,419.49422300000003,0.0,2011
IRL,Ireland,230400000000.0,32.9,0.0,66.484018,0.0,2011
IRQ,Iraq,148970000000.0,0.0,0.0,73.04994704,0.0,2011
ISL,Iceland,13941164776.0,26.8,0.0,3.1821845389999996,0.0,2011
ISR,Israel,245344000000.0,0.0,0.0,358.86321630000003,0.0,2011
ITA,Italy,2137310000000.0,35.1,98.84828186,201.8747841,0.0,2011
JAM,Jamaica,13428092060.0,0.0,0.0,261.2643583,0.0,2011
JOR,Jordan,27108947011.0,0.0,95.90444946,85.32262897,0.0,2011
JPN,Japan,5693520000000.0,0.0,0.0,350.65490800000003,0.0,2011
KAZ,Kazakhstan,159003000000.0,28.0,0.0,6.132978109,0.0,2011
